Fire_ID,history,rbr,rbr_w_offset,Fire_Year,host_species,total_pixels,host_percentage,Average Recovery,Time_Since_Defoliation,Cumulative_Years,Max_Overlap_Area,Max_Overlap_Percent,fire_area,isi_90,dc_90,dmc_90,ffmc_90,bui_90,fwi_90
CHA10_2010_1589,1,562.55,532.81,2010,279.0,364.0,76.6,104.52,22,16,764973.3816431126,100.00000000000004,1.092,13.6,133.5,52.1,93.4,52.9,24.7
CHA18_2005_1513,1,606.9,283.7,2005,206.0,226.0,91.2,74.98,17,17,954810.2273975256,100.00000000000004,0.678,8.8,384.4,70.7,90.9,94.2,27.5
CHA29_1995_249,1,504.62,238.17,1995,43381.0,54481.0,79.6,118.38,7,17,129459435.20226748,100.00000000000009,163.443,6.8,483.2,72.2,88.9,102.6,21.3
CHA52_1991_1021,1,273.85,225.15,1991,1786.0,2786.0,64.1,226.04,3,17,14118341.139901036,100.00000000000009,8.358,7.5,479.9,67.1,90.8,95.5,24.8
CHA7_1992_829,1,275.55,336.29,1992,2428.0,3018.0,80.5,225.63,4,17,9124349.66486442,100.00000000000004,9.054,8.1,42.9,19.4,92.1,19.9,10.2
CHA8_2012_1924,1,623.24,504.56,2012,869.0,1641.0,53.0,88.01,1,16,3417143.179447653,99.99999999999994,4.923,17.3,113.8,53.2,91.6,51.9,30.4
CHA9_1990_922,1,636.47,351.63,1990,24914.0,36140.0,68.9,94.67,2,18,92676888.43547384,100.00000000000004,108.42,17.8,128.7,45.2,91.8,46.9,33.3
COC10_2005_1519,1,563.52,247.98,2005,1191.0,1191.0,100.0,79.33,24,5,5939466.646722916,99.99999999999991,3.573,15.2,86.4,39.7,94.3,40.1,27.0
COC10_2012_1911,1,517.65,274.38,2012,405.0,412.0,98.3,86.85,30,2,1805831.839230504,64.37794253094495,1.236,16.9,66.3,23.2,92.9,23.8,20.2
COC12_1992_485,1,281.43,321.73,1992,2103.0,2103.0,100.0,164.52,11,5,10102370.275980828,100.0,6.309,11.5,167.7,53.1,91.3,59.4,28.2
COC14_1992_125,1,515.52,357.42,1992,764.0,764.0,100.0,91.11,13,1,1829644.3845032365,100.00000000000004,2.292,10.9,195.5,54.1,91.1,58.6,30.4
COC14_2006_1606,1,613.04,449.29,2006,265.0,351.0,75.5,76.62,25,6,701632.2234737172,100.00000000000004,1.053,9.1,39.9,13.4,81.9,14.6,8.7
COC15_2001_48,1,615.39,213.99,2001,507.0,507.0,100.0,70.05,22,1,3687521.899113381,100.0,1.521,10.2,169.8,51.9,91.6,57.5,22.5
COC16_1997_1038,1,530.52,224.74,1997,10298.0,10309.0,99.9,80.32,9,2,14132359.623815505,19.75299380492344,30.927,13.1,154.0,56.1,93.8,57.3,21.9
COC19_1997_521,1,595.18,386.32,1997,16532.0,18681.0,88.5,97.4,9,14,63013988.14540434,100.00000000000004,56.043,11.0,158.8,63.7,91.0,65.0,23.5
COC23_1995_1273,1,536.92,265.45,1995,44889.0,44913.0,99.9,84.98,16,1,188940392.3737452,100.00000000000011,134.739,7.4,231.5,49.0,88.4,61.4,18.8
COC24_1995_496,1,577.56,308.41,1995,5521.0,5527.0,99.9,74.71,14,2,19480959.11338495,100.00000000000009,16.581,7.3,251.6,54.9,88.8,67.4,18.7
