Fire_ID,mean_temperature,sum_precipitation_mm,sum_precipitation_m
CHA10_2010_1589,20.86,5400.1,5.4
CHA18_2005_1513,20.65,5181.41,5.18
CHA29_1995_249,20.42,4552.43,4.55
CHA52_1991_1021,20.32,4457.07,4.46
CHA7_1992_829,19.94,4535.26,4.54
CHA8_2012_1924,20.79,5401.04,5.4
CHA9_1990_922,20.18,4552.42,4.55
COC10_2005_1519,20.14,5322.61,5.32
COC10_2012_1911,19.84,5445.11,5.45
COC12_1992_485,20.04,5100.96,5.1
COC14_1992_125,20.53,4924.98,4.92
COC14_2006_1606,20.16,5381.39,5.38
COC15_2001_48,19.94,5543.55,5.54
COC16_1997_1038,19.7,5340.93,5.34
COC19_1997_521,20.24,5396.11,5.4
COC23_1995_1273,20.49,5213.33,5.21
COC24_1995_496,20.02,5184.6,5.18
COC34_1997_475,19.78,5695.44,5.7
COC34_2006_1686,20.42,5395.55,5.4
COC37_1995_372,20.5,5284.14,5.28
COC38_1995_629,20.56,5203.17,5.2
COC8_2006_1649,19.98,5378.32,5.38
COC9_2002_100,20.17,5452.98,5.45
COC9_2006_1654,19.98,5378.32,5.38
DRY12_1996_1145,20.62,5531.52,5.53
DRY18_1996_839,20.91,5690.94,5.69
DRY23_1996_942,20.5,5700.57,5.7
DRY24_1996_1466,20.92,5698.96,5.7
DRY26_1995_1350,20.62,5548.96,5.55
DRY29_1995_275,20.67,5694.99,5.69
DRY31_1996_1105,20.56,5207.18,5.21
DRY32_1995_703,20.72,5725.54,5.73
DRY36_1996_957,20.34,5712.74,5.71
DRY57_2003_1410,20.42,5908.46,5.91
DRY79_2006_1692,20.95,5698.84,5.7
FOR11_1996_134,20.94,5843.13,5.84
FOR137_1995_1337,21.11,5621.36,5.62
FOR140_1995_828,20.89,5643.21,5.64
FOR141_1995_743,20.76,5261.64,5.26
FOR14_2005_1514,21.19,4456.45,4.46
FOR165_2006_1620,21.07,4974.64,4.97
FOR173_2006_1618,20.98,5556.9,5.56
FOR179_2006_1623,20.98,5556.9,5.56
FOR17_2011_1836,21.21,5518.16,5.52
FOR18_2005_1520,20.9,5524.92,5.52
FOR24_2005_1516,21.03,5565.29,5.57
FOR38_1995_439,20.76,5506.95,5.51
FOR42_2011_1834,21.33,5559.86,5.56
FOR52_2006_1617,21.26,4488.02,4.49
FOR54_2006_1619,21.07,4974.64,4.97
FOR57_2006_1621,21.03,5572.29,5.57
FOR59_2012_1935,20.98,5495.49,5.5
FOR61_2006_1624,20.97,5540.55,5.54
FOR63_2006_1622,20.98,5556.9,5.56
FOR9_1996_467,21.13,5580.06,5.58
GER40_1991_716,20.07,4664.81,4.66
GER92_1991_1201,20.67,4661.06,4.66
