Fire_ID,mean_temperature,sum_precipitation_mm,sum_precipitation_m
DRY10_2002_75,20.6,5832.16,5.83
DRY10_2007_1659,20.59,6264.51,6.26
DRY14_2000_30,20.16,5684.04,5.68
DRY58_2003_1441,21.03,5797.31,5.8
FOR14_2003_1484,21.66,4523.51,4.52
FOR42_1995_752,21.33,5594.23,5.59
FOR61_1995_328,20.7,5504.39,5.5
KEN100_1995_159,20.65,5826.05,5.83
KEN110_2003_1423,20.47,5006.26,5.01
KEN36_2012_1917,19.94,3704.38,3.7
KEN41_2007_1566,20.98,4658.08,4.66
KEN91_2011_1748,20.0,3118.79,3.12
KLK11_2012_1907,20.7,5521.37,5.52
KLK5_2003_1495,20.55,5242.88,5.24
KLK8_2012_1841,20.44,5714.8,5.71
NIP226_2006_1644,16.29,5322.34,5.32
NIP257_2006_1604,19.64,5335.6,5.34
NIP26_2007_1660,19.54,5343.01,5.34
NIP296_2006_1609,19.68,5233.28,5.23
NIP322_2006_1573,20.47,5394.87,5.39
NIP334_2006_1616,16.84,5439.59,5.44
NIP338_2006_1664,19.31,5124.8,5.12
NIP341_2006_1614,19.85,5267.88,5.27
NIP400_2006_1613,18.44,5128.24,5.13
NIP402_2006_1615,17.16,5318.94,5.32
NIP404_2006_1612,18.67,5070.51,5.07
NIP406_2006_1569,19.21,5031.41,5.03
NIP52_2005_1522,19.95,5062.2,5.06
NIP85_2002_103,17.75,3292.19,3.29
NOR11_1999_1390,20.6,5060.78,5.06
NOR17_1999_728,20.67,5147.63,5.15
PAR13_1999_571,21.32,4781.71,4.78
PEM25_2012_1933,22.15,4107.77,4.11
PEM2_2007_1588,21.67,4085.65,4.09
PEM74_1990_765,21.64,3349.47,3.35
PEM9_2002_104,21.7,4385.51,4.39
RED25_2010_1756,20.68,5408.0,5.41
SAU13_2007_1587,20.47,5488.26,5.49
SAU78_2006_1560,17.15,4648.75,4.65
SAU7_2003_1436,20.05,3342.45,3.34
SUD23_1992_715,20.31,4980.7,4.98
SUD46_2007_1586,20.64,5108.54,5.11
SUD8_2006_1561,21.87,5611.14,5.61
THU151_2006_1650,20.55,5573.85,5.57
THU176_2006_1652,20.55,5573.85,5.57
THU187_2006_1598,20.17,5257.16,5.26
THU189_2006_1610,20.51,5358.02,5.36
THU192_2006_1689,15.54,5061.31,5.06
THU249_2006_1639,20.54,5564.06,5.56
THU28_2003_1502,20.38,4918.16,4.92
THU36_2007_1584,17.26,3937.51,3.94
THU80_1996_348,20.0,4654.23,4.65
TIM34_2011_1750,21.08,5158.08,5.16
TIM47_2012_1903,20.82,5005.04,5.01
TIM9_2010_1773,20.69,5317.56,5.32
WAW4_2012_1916,20.38,5516.11,5.52
WAW5_2012_1904,19.67,5134.02,5.13
