Fire_ID,mean_temperature,sum_precipitation_mm,sum_precipitation_m
COC12_2002_53,19.21,4315.56,4.32
COC14_2009_1703,19.31,5304.84,5.3
COC15_1987_935,19.34,4830.79,4.83
COC16_1992_1239,19.19,4760.6,4.76
COC16_2009_1720,19.48,5156.79,5.16
COC17_1999_738,20.06,5433.29,5.43
COC18_1992_598,19.25,4739.19,4.74
COC19_2002_74,19.91,5275.14,5.28
COC22_1999_954,18.67,4557.68,4.56
COC25_1996_158,20.29,5128.28,5.13
COC25_2011_1827,19.73,5240.4,5.24
COC28_1996_322,19.91,4936.56,4.94
COC30_1997_1034,19.58,5053.08,5.05
COC33_1995_903,20.05,5229.54,5.23
COC36_1995_847,20.01,5039.44,5.04
COC37_2005_1533,19.72,5316.16,5.32
COC38_1998_546,19.62,5453.93,5.45
COC53_1996_544,19.85,4957.66,4.96
COC57_1998_153,19.92,5679.6,5.68
DRY26_1996_332,20.27,5032.09,5.03
FOR10_1991_317,21.39,5516.04,5.52
FOR11_2003_1420,21.15,4324.87,4.32
FOR12_1987_1202,21.87,5086.66,5.09
FOR13_1987_316,21.7,4877.45,4.88
FOR1_1993_470,21.27,5524.17,5.52
FOR1_2000_59,21.28,4613.57,4.61
FOR1_2004_1507,20.99,4410.01,4.41
FOR2_2001_8,21.03,4457.21,4.46
FOR30_1989_793,21.45,5203.26,5.2
FOR35_1987_812,20.39,4578.86,4.58
FOR3_2010_1771,21.6,4380.85,4.38
FOR4_1988_1218,21.73,4984.55,4.98
FOR5_1998_1334,21.01,5321.39,5.32
FOR5_1999_1387,20.88,5186.22,5.19
FOR5_2000_33,20.79,4555.82,4.56
FOR6_1987_1013,21.54,4884.63,4.88
FOR6_1998_258,21.06,5305.94,5.31
FOR78_1987_279,21.54,4884.63,4.88
FOR79_1987_542,21.54,4884.63,4.88
FOR83_1990_969,21.24,5354.1,5.35
GER11_1986_1463,19.75,4201.31,4.2
GER11_1991_607,19.32,4827.71,4.83
GER120_1989_1192,19.1,4453.44,4.45
GER123_1989_875,19.18,4081.91,4.08
GER128_1989_1320,19.6,4106.08,4.11
GER129_1989_489,19.8,4154.84,4.15
GER12_1986_801,19.72,4350.85,4.35
GER136_1989_295,19.49,4084.56,4.08
GER13_1986_576,20.06,4508.16,4.51
GER13_1992_1293,18.54,4745.4,4.75
GER14_1986_340,19.47,4336.1,4.34
GER14_1992_194,19.02,4965.38,4.97
GER15_1992_1284,19.0,4961.85,4.96
GER17_1992_1355,19.22,4908.42,4.91
GER18_1989_1445,20.18,4484.38,4.48
GER18_1992_1094,18.92,4953.75,4.95
GER19_1989_643,19.73,4431.02,4.43
GER19_1993_575,18.96,4301.68,4.3
GER20_1987_131,19.83,4292.87,4.29
GER20_1990_740,19.86,4310.35,4.31
GER21_1987_831,18.52,4102.64,4.1
GER21_1988_873,20.22,4669.7,4.67
GER21_1992_720,19.67,4850.49,4.85
GER25_1987_1050,20.24,4522.03,4.52
GER25_1991_791,19.89,4667.87,4.67
GER25_1992_587,19.21,4951.6,4.95
GER26_1988_1059,19.34,3838.13,3.84
GER26_1991_240,18.7,4458.94,4.46
GER27_1988_1382,19.56,3729.0,3.73
GER27_1989_138,20.11,4542.86,4.54
GER28_1988_1072,19.41,3918.85,3.92
GER28_1990_376,19.3,4377.47,4.38
GER29_1986_385,20.29,4500.45,4.5
GER29_1990_999,19.36,4272.22,4.27
GER30_1987_1116,20.3,4572.65,4.57
GER30_1989_511,20.01,4532.54,4.53
GER30_1990_245,19.16,4546.82,4.55
GER31_1987_120,20.03,4558.27,4.56
GER32_1989_272,19.95,4588.71,4.59
GER33_1990_1205,18.92,4375.56,4.38
GER34_1989_1089,20.01,4532.54,4.53
GER35_1989_1301,20.2,4415.7,4.42
GER35_1990_1004,18.68,4182.05,4.18
GER35_1991_1329,19.06,4491.91,4.49
GER36_1989_1040,20.02,4430.13,4.43
GER36_1991_1165,19.65,4584.44,4.58
GER36_1992_868,20.08,4801.18,4.8
GER37_1990_321,19.57,4341.27,4.34
GER38_1989_732,20.03,4406.47,4.41
GER38_1990_810,19.29,4428.99,4.43
GER39_1990_151,19.21,4550.26,4.55
GER39_1992_989,19.76,4892.34,4.89
GER40_1990_938,18.91,4202.62,4.2
GER41_1988_1448,20.01,4279.49,4.28
GER44_1990_229,19.01,4254.73,4.25
GER45_1990_410,19.04,4314.76,4.31
GER45_1991_396,20.21,4608.28,4.61
GER46_1989_417,20.03,4431.47,4.43
GER46_1990_513,19.17,3941.58,3.94
GER48_1990_680,20.79,4364.93,4.36
GER50_1989_314,19.92,4581.82,4.58
GER50_1991_1134,18.82,4587.04,4.59
GER51_1989_968,19.91,4562.98,4.56
GER51_1990_1331,18.91,4324.02,4.32
GER52_1989_202,20.0,4506.65,4.51
GER54_1989_953,20.0,4506.65,4.51
GER55_1989_967,20.1,4448.29,4.45
GER57_1990_631,18.91,4202.62,4.2
GER59_1989_1325,19.9,4433.87,4.43
GER60_1989_734,19.97,4366.3,4.37
GER60_1990_792,18.79,3885.8,3.89
GER61_1989_608,20.14,4274.11,4.27
GER62_1989_1257,20.04,4314.57,4.31
GER63_1989_273,19.93,4291.2,4.29
GER63_1991_897,19.78,4689.44,4.69
GER64_1989_767,19.67,4384.56,4.38
GER65_1989_708,19.76,4307.33,4.31
GER70_1991_449,19.6,4859.77,4.86
GER71_1989_1096,20.01,4220.63,4.22
GER72_1989_386,18.95,4313.25,4.31
GER75_1990_379,19.77,4532.33,4.53
GER76_1989_685,20.06,4430.75,4.43
GER77_1989_945,19.2,4392.79,4.39
GER7_1989_978,19.16,4168.5,4.17
GER80_1989_455,18.93,4112.63,4.11
GER83_1990_798,19.11,3867.39,3.87
GER84_1991_1249,18.84,4407.99,4.41
GER85_1989_1209,19.56,4500.6,4.5
GER85_1990_135,19.81,4400.28,4.4
GER93_1989_110,19.64,4484.75,4.48
GER94_1989_228,19.56,4485.45,4.49
GER96_1989_253,19.41,4259.28,4.26
GER96_1991_1309,19.68,4742.1,4.74
GER98_1991_288,19.89,4667.87,4.67
GER99_1989_786,19.96,4498.38,4.5
KEM1_2000_36,21.34,5211.61,5.21
KEN186_1988_1159,20.91,5204.3,5.2
MOO15_1991_836,19.98,4746.97,4.75
NIP101_2002_176,19.22,4317.72,4.32
NIP104_1999_908,18.25,4872.2,4.87
NIP104_2005_1536,20.0,4901.54,4.9
NIP104_2012_1761,20.29,5029.08,5.03
NIP109_1996_231,19.0,4514.33,4.51
NIP10_2009_1717,19.27,4980.64,4.98
NIP110_1996_1377,19.4,4441.71,4.44
NIP110_1998_914,19.47,4757.54,4.76
NIP112_2005_1518,19.89,5106.33,5.11
NIP118_1998_1372,19.36,4830.19,4.83
NIP120_1998_665,18.81,4701.9,4.7
NIP121_1998_602,18.76,4542.86,4.54
NIP122_1998_654,18.76,4542.86,4.54
NIP123_1998_528,18.86,4516.26,4.52
