,Fire_ID,Average Recovery
0,GER52_1989_202,78.44
1,GER45_1990_410,80.83
2,RED55_2018_2124,54.06
3,SLK50_1995_1131,82.11
4,SLK103_2011_1736,89.13
5,SLK41_1999_1071,75.34
6,RED20_1995_536,182.29
7,SLK75_1998_124,87.75
8,NIP45_2018_2132,77.83
9,SIO179_1988_934,76.37
10,GER18_1992_1094,84.72
11,SLK16_2013_1873,78.11
12,THU65_1996_453,74.31
13,SIO47_1990_1164,298.26
14,SLK57_2015_1997,90.63
15,NIP19_2000_22,61.06
16,SLK25_2020_2201,82.33
17,RED32_1989_746,72.93
18,GER30_1990_245,72.88
19,SLK25_2002_19,82.3
20,NIP24_2012_1838,84.87
21,NIP95_2017_2114,62.56
22,RED34_1989_1259,60.0
23,GER34_1989_1089,85.84
24,SLK31_2019_2184,56.96
25,SLK91_2012_1846,69.94
26,RED67_2018_2070,68.04
27,SLK17_1999_1207,61.95
28,GER30_1987_1116,72.59
29,RED176_2006_1632,66.48
30,NIP82_1996_776,89.57
31,RED39_2002_90,72.01
32,RED50_2011_1813,95.32
33,NIP37_1996_565,67.04
34,THU50_2011_1826,121.05
35,NIP11_2013_1886,75.27
36,GER17_1992_1355,84.98
37,SIO196_1988_118,60.84
38,RED30_2018_2032,43.62
39,SLK39_1995_389,93.11
40,SLK108_1994_333,79.01
41,THU4_2020_2161,103.51
42,NIP43_1996_910,54.2
43,SLK35_1994_1303,95.33
44,RED60_2012_1899,72.01
45,SLK32_2002_183,75.01
46,SLK13_2009_1707,75.6
47,RED111_2011_1742,64.59
48,NIP50_1996_355,73.25
49,SIO104_1989_1252,75.68
50,SIO20_1993_1446,72.45
51,RED22_1995_901,90.12
52,SLK26_2009_1715,69.81
53,RED53_1989_1195,65.16
54,GER75_1990_379,68.72
55,COC22_1999_954,84.63
56,RED29_1995_484,88.39
57,NIP21_2013_1879,50.98
58,RED14_1986_1055,87.68
59,SLK144_1998_687,98.31
60,KEN28_2015_1959,92.21
61,SIO153_1989_503,72.43
62,THU89_1996_447,71.42
63,PAR33_2018_2071,69.77
64,RED235_1988_849,95.97
65,SLK20_2012_1919,63.73
66,GER14_1986_340,61.06
67,RED57_2019_2174,52.4
68,NIP54_2017_2027,69.56
69,HEA4_2016_2004,109.3
70,NIP144_1998_721,86.37
71,THU39_1996_866,53.86
72,SLK47_2011_1788,91.55
73,RED23_2019_2164,69.95
