,Fire_ID,Average Recovery
0,NIP60_1996_227,101.11
1,SLK61_2011_1819,74.72
2,KLK2_2001_10,69.18
3,TIM56_2005_1529,73.8
4,PEM2_2007_1588,104.35
5,RED1_2001_6,108.4
6,PEM3_2001_11,93.42
7,NIP80_2005_1523,76.8
8,THU184_2006_1647,65.15
9,WAW23_2003_1503,87.75
10,DRY23_1996_942,82.69
11,THU249_2006_1639,107.29
12,NIP241_1998_609,82.79
13,NIP264_2006_1603,80.22
14,WAW12_2011_1749,114.16
15,THU79_1996_742,74.86
16,WAW69_1995_946,120.89
17,WAW17_2012_1934,103.96
18,KLK13_2012_1856,83.96
19,PAR13_1999_571,112.27
20,IGN9_1987_492,89.74
21,FOR141_1995_743,96.16
22,TER7_1986_83,73.84
23,KEM2_2000_62,94.02
24,SLK105_2012_1931,72.63
25,WAW4_2012_1916,89.12
26,FOR17_2011_1836,95.53
27,WAW21_2003_1406,88.69
28,COC34_1997_475,80.03
29,THU41_1996_553,84.65
30,COC14_1992_125,91.11
31,SUD121_1999_1289,84.48
32,TIM3_2007_1585,122.6
33,NIP323_2006_1607,108.23
34,WAW1_1998_1449,68.79
35,SUD8_2006_1561,118.75
36,KEN27_2011_1832,78.49
37,NIP16_2002_77,137.81
38,TIM6_1998_1082,85.51
39,FOR38_1995_439,120.57
40,THU53_1996_593,74.99
41,NIP245_2006_1605,95.17
42,NIP29_1997_412,115.43
43,HEA20_2010_1770,87.56
44,FOR52_2006_1617,84.07
45,WAW86_1995_724,132.84
46,NIP9_1992_1122,82.3
47,NIP291_2006_1611,63.58
48,THU154_2006_1687,65.78
49,THU189_2006_1610,88.63
50,NIP85_2002_103,113.63
51,KLK9_2003_1496,94.07
52,HEA9_2012_1920,138.21
53,NIP406_2006_1569,132.86
54,THU136_1995_414,99.23
55,FOR9_1998_1300,117.32
56,DRY14_2000_30,105.38
57,COC9_2002_100,151.33
58,PEM8_1999_1450,88.67
59,PEM9_2002_104,134.1
60,NOR3_1998_373,98.31
61,DRY79_2006_1692,101.28
62,HEA3_1999_1069,108.79
63,SUD62_1988_1247,114.55
64,SAU6_1999_1348,120.97
65,THU84_1996_147,35.77
66,FOR173_2006_1618,88.0
67,NIP94_2011_1747,95.87
68,NIP252_1998_994,90.0
69,NIP37_1998_1064,114.31
70,COC12_1992_485,164.52
71,NIP151_2006_1592,153.02
72,NIP65_1996_1146,87.36
73,NIP81_2006_1684,115.75
74,WAW5_2012_1904,91.59
75,DRY26_1995_1350,102.14
76,THU71_1987_651,76.11
77,HEA16_1992_418,99.77
78,RED25_2010_1756,87.7
79,PEM4_1999_1091,81.43
80,THU124_1998_298,76.57
81,NIP42_2000_32,229.55
82,SAU20_2011_1837,105.75
83,CHA12_1991_532,111.11
84,CHA12_1987_1210,110.75
85,FOR11_1996_134,94.29
86,THU192_2006_1689,101.4
87,COC38_1995_629,94.02
88,THU185_2006_1633,116.93
89,NIP39_1996_236,88.6
90,NIP63_1996_1056,146.22
91,DRY32_1995_703,90.02
92,SLK1_2012_1847,112.13
93,THU82_1987_885,110.76
94,THU21_1998_137,93.49
95,THU151_2006_1650,90.95
96,KEN121_1995_233,119.61
97,NIP17_2003_1485,81.83
98,HEA6_1987_479,88.28
99,NIP365_2006_1574,96.73
100,THU190_2006_1636,87.98
101,SAU4_1998_335,95.51
102,NIP24_2001_7,64.05
103,NIP77_2001_49,55.09
104,PEM2_2000_35,96.04
105,CHA9_1990_922,94.67
106,THU28_2003_1502,131.69
107,NIP240_1998_123,86.36
108,THU57_2005_1526,90.08
109,THU16_2002_102,109.11
110,COC16_1997_1038,80.32
111,TIM5_1996_563,123.38
112,KEN103_2012_1853,79.26
113,FOR14_2003_1484,105.62
114,KAP10_1986_1340,132.89
115,THU167_2006_1653,85.16
116,HEA27_1996_270,107.55
117,FOR179_2006_1623,93.61
118,THU80_1996_348,87.73
119,KEN36_2012_1917,96.85
120,THU107_1988_1115,73.8
121,PEM25_2012_1933,93.48
122,FOR8_1987_835,82.29
123,NIP56_1998_832,82.16
124,KEN110_2003_1423,108.74
125,NIP341_2006_1614,107.9
126,THU132_1995_944,79.92
127,CHA32_1987_1474,144.96
128,ESP16_1988_225,129.69
129,SUD23_1992_715,88.4
130,ESP17_1988_869,128.66
131,KLK5_2003_1495,100.2
132,TIM41_1998_641,67.58
133,RED32_2002_98,90.24
134,THU139_2006_1691,90.68
135,TEM5_1992_1319,88.95
136,DRY12_1996_1145,82.97
137,KLK11_2012_1907,88.71
138,NIP226_2006_1644,86.7
139,FOR57_2006_1621,88.57
140,THU246_2006_1597,86.53
141,THU53_1995_1395,67.58
142,FOR1_2010_1769,93.52
143,KEN105_1995_1173,107.06
144,WAW13_2003_1409,101.74
145,NIP24_1998_1285,101.32
146,WAW18_2010_1775,77.38
147,COC14_2006_1606,76.62
148,THU71_1996_461,112.07
149,COC3_1988_79,74.29
150,FOR14_2005_1514,101.47
151,RED58_1999_677,100.76
152,SUD165_1991_949,155.2
153,SLK48_2003_1476,114.03
154,CHA8_2012_1924,88.01
155,THU14_1995_308,94.72
156,NIP338_2006_1664,183.03
157,DRY10_2002_75,109.5
158,RED65_2003_1440,89.1
159,NIP267_2006_1641,117.78
160,THU232_2006_1690,95.99
161,NIP430_2006_1637,81.63
162,SUD46_2007_1586,101.61
163,TIM13_2010_1776,63.51
164,COC24_1995_496,74.71
165,THU109_1988_747,89.65
166,DRY58_2003_1441,105.47
167,COC37_1995_372,86.3
168,COC11_1986_1332,96.33
169,NIP404_2006_1612,96.49
170,NIP415_2006_1645,85.1
171,NOR17_1999_728,77.07
172,THU144_2006_1638,97.61
173,COC23_1995_1273,84.98
174,THU38_1996_675,89.97
175,COC10_2005_1519,79.33
176,SLK11_2007_1658,120.12
177,NIP80_1996_310,95.23
178,THU36_2007_1584,100.32
179,NIP440_2006_1601,141.65
180,RED81_1995_964,93.65
181,RED84_2011_1823,84.81
182,RED230_1988_277,109.37
183,NIP49_1998_760,88.36
184,FOR18_2005_1520,77.19
185,THU58_1996_127,109.2
186,NOR11_1999_1390,79.25
187,TIM7_2012_1898,102.0
188,NIP103_1998_283,88.92
189,THU13_1999_514,57.53
190,KLK9_2004_1508,81.85
191,NIP79_1996_1296,65.28
192,NIP58_2003_1421,80.61
193,DRY27_1996_1121,74.27
194,NIP1_2002_101,270.84
195,NIP23_1988_981,218.09
196,NIP296_2006_1609,95.31
197,COC8_2006_1649,109.82
198,KLK5_2010_1772,92.64
199,KEN41_2007_1566,106.04
200,CHA13_1998_1022,104.41
201,NIP34_1998_714,95.73
202,DRY18_1996_839,104.98
203,TIM19_2005_1512,150.88
204,FOR42_2011_1834,88.16
205,FOR140_1995_828,92.56
206,TIM2_1997_488,103.91
207,NIP413_2006_1656,135.54
208,NIP86_1996_856,90.99
209,TIM7_2005_1515,75.53
210,ATI10_1987_819,85.94
211,WAW87_1995_1025,151.64
212,THU142_2006_1634,105.26
213,NIP328_2006_1608,96.6
214,NIP20_2005_1521,126.89
215,KLK8_2012_1841,92.67
216,DRY57_2003_1410,108.45
217,TIM5_1988_390,133.15
218,NIP334_2006_1616,100.26
219,TIM12_1997_1531,70.57
220,FOR33_1987_639,97.53
221,NIP108_2006_1651,101.87
222,DRY29_1995_275,124.35
223,THU130_1991_1263,95.71
224,SLK64_2011_1820,78.31
225,NIP391_2006_1575,84.66
226,GOG4_1991_1464,110.07
227,THU77_1996_1187,80.37
228,GOG13_1988_1375,117.6
229,TIM24_1997_121,75.31
230,THU71_1998_684,140.33
231,GER92_1991_1201,79.23
232,COC15_2001_48,70.05
233,CHA18_2005_1513,74.98
234,SUD1_2005_1524,112.12
235,CHA19_2000_60,86.2
236,CHA1_1999_1297,109.9
237,DRY8_2007_1565,108.6
238,NIP10_1999_1139,91.8
239,SLK65_1995_307,72.48
240,NIP344_2006_1643,95.34
241,NIP38_1998_1026,101.94
242,HEA63_2005_1511,85.64
243,NIP75_2002_76,89.2
244,NIP58_1998_1031,132.58
245,SLK86_1996_1174,80.04
246,FOR137_1995_1337,89.64
247,SAU13_2007_1587,101.7
248,THU187_2006_1598,102.11
249,THU37_2007_1662,106.58
250,TER6_1988_220,167.02
251,DRY36_1996_957,74.32
252,FOR1_2001_9,94.99
253,HEA48_1995_222,155.86
254,HEA1_2011_1833,106.3
255,COC10_2012_1911,86.85
256,FOR59_2012_1935,79.29
257,IGN41_1989_211,107.76
258,COC19_1997_521,97.4
259,THU113_2006_1568,96.27
260,DRY5_2003_1418,107.65
261,CHA7_1992_829,225.63
262,SUD1_2009_1728,103.27
263,HEA21_1991_512,109.33
264,NIP51_1996_620,70.28
265,DRY31_1996_1105,89.0
266,FOR24_2005_1516,90.8
267,TIM27_2012_1921,66.41
268,DRY24_1996_1466,91.15
269,THU45_1996_834,90.83
270,RED39_2012_1901,96.28
271,THU73_1996_661,73.07
272,GOG1_1987_468,157.64
273,SUD1_2004_1532,108.74
274,SAU8_2000_61,88.74
275,NIP276_2006_1655,126.25
276,CHA52_1991_1021,226.04
277,THU176_2006_1652,89.18
278,NIP46_1996_726,118.13
279,PEM74_1990_765,108.95
280,THU53_1988_1053,79.7
281,NIP409_2006_1570,135.89
282,FOR165_2006_1620,92.88
283,NIP12_1999_502,110.92
284,NIP238_2006_1571,92.9
285,WAW5_1999_797,101.16
286,NIP44_1996_1211,82.13
287,THU103_1988_802,50.35
288,NIP2_2002_99,112.55
