"term","estimate","std_error","t_value","p_value","significance"
"(Intercept)",208.3765,9.0428,23.043,"7.87e-69","***"
"history",47.5214,16.9612,2.802,"5.41e-03","**"
"fire_area",-10.026,6.5563,-1.529,"1.27e-01",""
"Cumulative_Years_Defol:Time_Since_Defol",0.5706,0.4168,1.369,"1.72e-01",""
"host_pct",-8.3385,6.9685,-1.197,"2.32e-01",""
"isi_90",11.6532,12.9502,0.9,"3.69e-01",""
"mean_tri",-4.9679,7.3885,-0.672,"5.02e-01",""
"dc_90",-5.4854,9.0605,-0.605,"5.45e-01",""
"ffmc_90",-4.5372,9.46,-0.48,"6.32e-01",""
"fwi_90",2.922,13.9837,0.209,"8.35e-01",""
