"Model","Variable","Estimate","Std.Error","t_value","p_value","p_formatted","Significance"
"Severity","Intercept",1252.686,530.028,2.363,0.018901088093372,"0.01890","*"
"Severity","Host Percentage",-1.68,0.289,-5.808,1.99146124701529e-08,"< 0.001","***"
"Severity","Initial Spread Index (ISI)",19.385,5.157,3.759,0.000214418190071901,"< 0.001","***"
"Severity","Drought Code (DC)",-0.068,0.18,-0.375,0.708017333043255,"0.70802",""
"Severity","Duff Moisture Code (DMC)",-0.859,1.88,-0.457,0.647976719354726,"0.64798",""
"Severity","Fine Fuel Moisture Code (FFMC)",-1.941,3.967,-0.489,0.625066861679136,"0.62507",""
"Severity","Buildup Index (BUI)",2.062,2.162,0.954,0.341244942381094,"0.34124",""
"Severity","Fire Weather Index (FWI)",-5.909,3.245,-1.821,0.0698470285636644,"0.06985","."
"Severity","Mean Terrain Ruggedness Index",-11.222,7.638,-1.469,0.143088064766618,"0.14309",""
"Severity","Longitude",-1.898,2.203,-0.862,0.389694063087314,"0.38969",""
"Severity","Latitude",-19.218,9.531,-2.016,0.0448725787985755,"0.04487","*"
"Severity","Years Defoliated x Immediate Post-Outbreak",0.827,2.052,0.403,0.68722541313514,"0.68723",""
"Severity","Years Defoliated x Early Window",5.672,3.345,1.696,0.0912152105446125,"0.09122","."
"Severity","Years Defoliated x Peak Window",-4.049,3.421,-1.183,0.23780996483542,"0.23781",""
"Severity","Years Defoliated x Late Window",7.012,3.474,2.018,0.0446888979546405,"0.04469","*"
"Recovery","Intercept",204.531,119.666,1.709,0.0886877650374479,"0.08869","."
"Recovery","Host Percentage",-0.216,0.079,-2.731,0.00677034459139409,"0.00677","**"
"Recovery","Burn Severity (RBR)",-0.02,0.017,-1.196,0.232929804984208,"0.23293",""
"Recovery","Mean Temperature",1.089,1.746,0.624,0.53352776045009,"0.53353",""
"Recovery","Total Precipitation (mm)",-0.006,0.003,-1.701,0.0901234352218381,"0.09012","."
"Recovery","Mean Terrain Ruggedness Index",-1.695,2.003,-0.846,0.398161134262935,"0.39816",""
"Recovery","Longitude",0.706,0.534,1.323,0.187114156905837,"0.18711",""
"Recovery","Latitude",-0.428,2.596,-0.165,0.869018735977714,"0.86902",""
"Recovery","Years Defoliated x Immediate Post-Outbreak",1.66,0.518,3.203,0.00154053392367845,"0.00154","**"
"Recovery","Years Defoliated x Early Window",1.523,0.872,1.746,0.0819887036953608,"0.08199","."
"Recovery","Years Defoliated x Peak Window",1.365,0.917,1.489,0.137700739040029,"0.13770",""
"Recovery","Years Defoliated x Late Window",1.504,0.983,1.53,0.127199950346803,"0.12720",""
